Data Points,Cumulated Volume Delta (CVD),Volume Weighted Average Price (VWAP),Buyback price,Bitget Loss in USD,Time Elapsed (HH:MM:SS),Average Fill Price
1000,253970404,5.307e-05,0.00605001,1523046,0:00:17,5.307e-05
2000,385212438,6.844e-05,0.00605001,2304175,0:00:43,6.844e-05
3000,396562956,8.451e-05,0.00605001,2365697,0:00:51,8.451e-05
4000,403402465,0.0001006,0.00605001,2400006,0:01:05,0.0001006
5000,406161281,0.00011255,0.00605001,2411568,0:01:13,0.00011255
6000,357259883,0.00013508,0.00605001,2113168,0:01:45,0.00013508
7000,359349856,0.00018293,0.00605001,2108333,0:02:07,0.00018293
8000,375064243,0.00021338,0.00605001,2189111,0:02:23,0.00021338
9000,345592647,0.00020721,0.00605001,2019228,0:02:29,0.00020721
10000,318285952,0.00017488,0.00605001,1869970,0:02:38,0.00017488
11000,304157828,0.00014599,0.00605001,1795753,0:02:47,0.00014599
12000,329620274,0.00015472,0.00605001,1943206,0:03:02,0.00015472
13000,353871950,0.00019616,0.00605001,2071515,0:03:22,0.00019616
14000,334167196,0.00019265,0.00605001,1957339,0:03:39,0.00019265
15000,329494727,0.00020184,0.00605001,1926942,0:04:21,0.00020184
16000,354627494,0.00019906,0.00605001,2074906,0:05:17,0.00019906
17000,363101935,0.00023412,0.00605001,2111763,0:05:38,0.00023412
18000,383397315,0.00026781,0.00605001,2216881,0:05:42,0.00026781
19000,394925753,0.00031306,0.00605001,2265668,0:05:48,0.00031306
20000,426499458,0.00035009,0.00605001,2431014,0:06:12,0.00035009
21000,435895970,0.00040882,0.00605001,2458972,0:06:23,0.00040882
22000,449809029,0.00045917,0.00605001,2514811,0:06:50,0.00045917
23000,445851631,0.00053353,0.00605001,2459530,0:07:03,0.00053353
24000,446868261,0.00053841,0.00605001,2462960,0:07:09,0.00053841
25000,454368918,0.00059169,0.00605001,2480091,0:07:15,0.00059169
26000,444993316,0.00055955,0.00605001,2443217,0:07:27,0.00055955
27000,447888474,0.00064092,0.00605001,2422670,0:07:46,0.00064092
28000,433461946,0.00071102,0.00605001,2314248,0:08:07,0.00071102
29000,425974312,0.00059191,0.00605001,2325011,0:08:12,0.00059191
30000,417816126,0.00052037,0.00605001,2310371,0:08:16,0.00052037
31000,406716176,0.00043404,0.00605001,2284104,0:08:18,0.00043404
32000,403702729,0.00040525,0.00605001,2278806,0:08:26,0.00040525
33000,412459410,0.00046984,0.00605001,2301593,0:08:33,0.00046984
34000,420196622,0.00055113,0.00605001,2310613,0:08:48,0.00055113
35000,418896390,0.00064214,0.00605001,2265339,0:09:06,0.00064214
36000,421818992,0.00061872,0.00605001,2291022,0:09:16,0.00061872
37000,411559448,0.00061689,0.00605001,2236050,0:09:45,0.00061689
38000,407304654,0.00061789,0.00605001,2212528,0:10:27,0.00061789
39000,418608809,0.00068482,0.00605001,2245914,0:10:44,0.00068482
40000,424274260,0.00079135,0.00605001,2231114,0:11:01,0.00079135
41000,431349727,0.00093191,0.00605001,2207692,0:11:08,0.00093191
42000,432674341,0.00101217,0.00605001,2179745,0:11:15,0.00101217
43000,438235603,0.00122235,0.00605001,2115650,0:11:21,0.00122235
44000,431599924,0.00124859,0.00605001,2072291,0:11:25,0.00124859
